,review_title,overall_review,pros,cons,ownership_pariod,date,rating_stars,year,month,day
0,solid,buy it you will not regret this purchase,reliable fast silent cool running drive highly recommend,,years,2019-12-05 12:58:58,5,2019,12,5
1,nice drive for price even cheaper by todays costs,good drive price,been running almost constantly since when i purchased it 24x7x365 with random power outages no issues to date with it will buy samsung evo s in future builds,,years,2019-11-01 08:25:45,5,2019,11,1
2,perfect,used this drive as my boot drive and only data storage on my previous build and now 4 years later i m using it as my new rig s game library crystaldisk still shows it at 100 and it s still plenty fast vs the new 860 evo can t go wrong with this one,good value decently fast good longevity,none so far,years,2019-10-27 17:05:49,5,2019,10,27
3,very snappy,os boots quicker os menus pop up quicker gaming load screens go quicker,noticeable improvement in os performance over a spinning drive,samsung magician software causes some games to fail to launch if you leave it running in the background,years,2019-10-24 18:29:43,5,2019,10,24
4,worth the hype,this was the sdd that everyone said to get and it has yet to disappoint it is super speedy and has given me no troubles,,,years,2019-09-11 19:21:03,5,2019,9,11
5,good price,dont be shy about this buy,fast and easy install great price,non,years,2019-08-26 15:38:16,5,2019,8,26
6,ssd strong,,its still working,its a little on the expensive side hoping the price drops so i can get a 1t,years,2019-07-27 04:52:12,5,2019,7,27
7,it died,used this as a storage drive for steam games only,it was a fast drivesamsung warranty honored,it died in 3 years,years,2019-04-27 14:55:38,4,2019,4,27
8,ssd s are meh,i ve been using samsung electronics for years and have never been disappointed until now and i m very familiar with samsung ssd s as well i currently have an 830 in my old alienware but i decided to update to the new at the time v nand in my laptop and replace the hdd in my wife s laptop replacing her s went smooth it showed up in the bios and was able to install a clean copy of windows however the second one for me was absolutely dead i ve tried to connect internally and with every usb port on both my laptop and her s and my buddies desktop and nothing it doesn t appear in bios or device manager so be warned its too late for rma because i ve been too busy to post a review or even contact anyone i purchased both in 2017 and its now the end of april 2019 and that s on me,lightning fast and reliable,ordered two and only one works,years,2019-04-21 18:38:01,3,2019,4,21
9,good ssd for sata,i bought this for to replace a wd 1 5tb black hdd used to hold games the reason behind moving my game storage from a hdd to an ssd was to decrease game load times the 2nd reason was 1tb ssd s are finally hitting a good price point this review is late in coming i have owned this ssd for 2 years now i ran crysaldiskmark to perform the testing do to the speed of the drive i was not able to test its potential real data transfer speed as a note to the speed tests i am not sure why the newer 850 is slower than my older one samsung 850 evo 1tb read 403 mb s write 411 mb s 2017 model firmware emt03b6q for comparisonsamsung 860 evo 256gb read 542 mb s write 509 mb s new drive in another computer samsung 850 pro 512gb read 553 mb s write 502 mb s 2014 model firmware exm04b6q samsung 850 evo 1tb read 555 mb s write 508 mb s 2014 model firmware emt02b6q wd black nvme 500gb read 3414 mb s write 2543 mb swd red 3tb wdefrx read 135 mb s write 128 mb seven though the newer drive is slow i am still happy with its performance it is very close to the max speed of a sata iii 6gbps interface i have the 2 evo s for my game libraries and the pro for my os the evo series in has a shorter expected life than the pro series fewer writes which is why i am using it for my game library i expect to only install and not uninstall games regularly while the os drives tend to do more writes i am also using a standard hdd the wd red 3tb for my mass storage like pictures docs and music,runs at 30 degrees c so nice and coolquiet like all ssd sstill fast compared to hdd s,a little slow for some reason see other section,years,2019-04-03 08:28:24,5,2019,4,3
10,amzing price,a fast drive at a great price no excuse not to upgrade a little big but i guess it s to keep to same form factor for bay install very saitsfied of my purchase,fast and great price performance ratio,size,years,2019-03-25 13:16:07,5,2019,3,25
11,ssds overrated,would not recommend any ssd for anything you want to have around,,dead after 80 days,years,2019-03-19 15:47:37,1,2019,3,19
12,love it,recommend 100 nothing to say,so fast boyy,none,years,2019-03-07 12:35:16,5,2019,3,7
13,nothing lasts,trying to find a replacement that works in a long term seems like a joke anymore,meh,after 2 years of buying 2 of the 500gb ssd they are starting to die on me the reason i know this is every other time i start up my rig the screens show info on my desktop like everything is fine then i cant move my mouse or do anything i also have wallpaper engine which is you can choose moving background images and they froze up and sometimes my other ssd dont show up half the time,years,2019-02-27 21:36:03,2,2019,2,27
14,a1 seller,,works as should,no cons,years,2019-02-18 15:57:00,5,2019,2,18
15,very fast drive,these drives are a little pricey i bought this one on sale you definitely get what you pay for tho cheers,i have installed many ssd drives and performance gain is always impressive this drive is really impressive i tested two ssd s on my macbook the samsung drive was noticeably much faster than brand x i also wish to note that the brand x drive had errors using carbon copy and the samsung drive did not,none,years,2019-02-17 05:17:49,5,2019,2,17
